name,handedness,height,weight,avg,HR,new_avg,new_HR
Ken Berry,R,72,175,0.255,58,0.255,58
Dave Concepcion,R,74,155,0.267,101,0.267,101
Junior Moore,R,71,185,0.264,7,0.264,7
Mike Richardt,R,72,170,0.226,4,0.226,4
Chris Brown,R,72,185,0.269,38,0.269,38
Al Bumbry,L,68,170,0.281,54,0.281,54
Al Downing,R,71,175,0.127,2,0.127,2
Bob Didier,B,72,190,0.229,0,0.229,0
Jake Gibbs,L,72,180,0.233,25,0.233,25
Garry Hancock,L,72,175,0.247,12,0.247,12
Ed Kranepool,L,75,205,0.261,118,0.261,118
Rick Rhoden,R,75,195,0.238,9,0.238,9
Denny McLain,R,73,185,0.133,1,0.133,1
Chuck Hiller,L,71,170,0.243,20,0.243,20
Jorge Orta,L,70,170,0.278,130,0.278,130
Dave Cash,R,71,170,0.283,21,0.283,21
Bucky Dent,R,69,170,0.247,40,0.247,40
Andy Beene,R,75,205,0,0,0.0115,0.176
Bruce Robbins,L,73,190,0,0,0.0032,0.158
Tony Gonzalez,L,69,170,0.286,103,0.286,103
Leon Hooten,R,71,180,0,0,0.0042,0.195
Larry Haney,R,74,195,0.215,12,0.215,12
Billy Conigliaro,R,72,180,0.256,40,0.256,40
Gary Roenicke,R,75,205,0.247,121,0.247,121
Don Lock,R,74,195,0.238,122,0.238,122
Billy Cowan,R,72,170,0.236,40,0.236,40
Billy Smith,B,74,185,0.23,17,0.23,17
Allan Ramirez,R,70,180,0,0,0.0198,0.193
Tony Perez,R,74,175,0.279,379,0.279,379
Chuck Schilling,R,70,160,0.239,23,0.239,23
Hal McRae,R,71,180,0.29,191,0.29,191
Dave Roberts,R,75,215,0.239,49,0.239,49
Brian Allard,R,73,175,0,0,0.0197,0.174
Jim Lefebvre,B,72,180,0.251,74,0.251,74
Fernando Arroyo,R,74,180,0,0,0.0042,0.165
Gary Beare,R,76,205,0,0,0.0182,0.127
Charlie Spikes,R,75,215,0.246,65,0.246,65
Brian Dubois,L,70,165,0,0,0.0092,0.103
Steve Whitaker,L,72,180,0.23,24,0.23,24
Manny Jimenez,L,73,185,0.272,26,0.272,26
Chris Batton,R,76,195,0,0,0.0151,0.2
Duffy Dyer,R,72,187,0.221,30,0.221,30
Ken Henderson,B,74,180,0.257,122,0.257,122
Vance Lovelace,L,77,205,0,0,0.0009,0.139
Greg Thayer,R,71,182,0,0,0.0176,0.183
Vern Fuller,R,73,170,0.232,14,0.232,14
Paul Hartzell,R,77,200,0,0,0.0038,0.138
Wayne Gross,L,74,210,0.233,121,0.233,121
Mike Champion,R,72,185,0.229,2,0.229,2
Ralph Botting,L,72,195,0,0,0,0.153
Paul Casanova,R,76,180,0.225,50,0.225,50
Steve Rogers,R,74,175,0.138,0,0.138,0
Keith Creel,R,74,180,0,0,0.0056,0.151
Terry Crowley,L,72,180,0.25,42,0.25,42
Horace Clarke,B,69,170,0.256,27,0.256,27
Lou Clinton,R,73,185,0.247,65,0.247,65
Larry Cox,R,70,178,0.221,12,0.221,12
Nate Colbert,R,74,190,0.243,173,0.243,173
Phil Roof,R,74,190,0.215,43,0.215,43
Chuck Hinton,R,73,180,0.264,113,0.264,113
Tim Cullen,R,73,185,0.22,9,0.22,9
Tim Harkness,L,74,182,0.235,14,0.235,14
Rick Bosetti,R,71,185,0.25,17,0.25,17
Ron Pruitt,R,72,185,0.269,12,0.269,12
George Foster,R,73,180,0.274,348,0.274,348
Jerry White,B,70,164,0.253,21,0.253,21
Angel Mangual,R,70,178,0.245,22,0.245,22
Ken Gerhart,R,72,190,0.221,24,0.221,24
Mike Hershberger,R,70,175,0.252,26,0.252,26
Jim French,L,68,180,0.196,5,0.196,5
Dave Roberts,L,75,195,0.194,7,0.194,7
Jim Mason,L,74,185,0.203,12,0.203,12
